        36998195 function calls (36797100 primitive calls) in 77.495 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      291    0.001    0.000    0.026    0.000 concat.py:367(is_uniform_join_units)
      934    0.001    0.000    0.001    0.000 tensor_shape.py:1160(<listcomp>)
      204    0.001    0.000    0.001    0.000 {method 'argsort' of 'numpy.ndarray' objects}
      558    0.001    0.000    0.002    0.000 inspect.py:714(getmodule)
      367    0.001    0.000    2.118    0.006 gradients_util.py:731(<lambda>)
     2216    0.001    0.000    0.001    0.000 object_identity.py:39(__eq__)
       10    0.001    0.000    0.001    0.000 mol_graphs.py:298(<listcomp>)
     1321    0.001    0.000    0.002    0.000 base.py:513(_maybe_initialize_trackable)
      262    0.001    0.000    0.003    0.000 base_layer.py:1920(__delattr__)
        5    0.001    0.000    0.001    0.000 {pandas._libs.writers.write_csv_rows}
     4492    0.001    0.000    0.001    0.000 dtypes.py:285(__hash__)
     2556    0.001    0.000    0.001    0.000 ops.py:5195(_control_dependencies_stack)
       70    0.001    0.000    0.056    0.001 gen_array_ops.py:791(broadcast_gradient_args)
       44    0.001    0.000    0.043    0.001 gen_random_ops.py:768(random_uniform)
      582    0.001    0.000    0.012    0.000 saveable_object_util.py:121(saveable_objects_for_op)
        5    0.001    0.000   29.659    5.932 data_loader.py:215(shard_generator)
       52    0.001    0.000    0.043    0.001 gen_math_ops.py:2145(cast)
     1328    0.001    0.000    0.013    0.000 ops.py:510(get_shape)
   248/18    0.001    0.000    0.014    0.001 session.py:245(for_fetch)
     1099    0.001    0.000    0.002    0.000 {built-in method builtins.sum}
      290    0.001    0.000    0.007    0.000 numerictypes.py:602(find_common_type)
     1314    0.001    0.000    0.001    0.000 blocks.py:89(_check_ndim)
      292    0.001    0.000    0.002    0.000 ops.py:4077(add_to_collections)
     1339    0.001    0.000    0.001    0.000 {method 'view' of 'numpy.ndarray' objects}
      193    0.001    0.000    0.001    0.000 blocks.py:3145(<listcomp>)
     1402    0.001    0.000    0.010    0.000 base.py:5318(ensure_index)
        5    0.001    0.000    0.001    0.000 {built-in method posix.mkdir}
      440    0.001    0.000    0.018    0.000 managers.py:600(<listcomp>)
      524    0.001    0.000    0.001    0.000 base_layer.py:1897(_obj_reference_counts)
     1039    0.001    0.000    0.006    0.000 common.py:634(condition)
      457    0.001    0.000    0.020    0.000 ops.py:1847(<listcomp>)
     1300    0.001    0.000    0.011    0.000 ag_logging.py:120(has_verbosity)
        2    0.001    0.000    0.004    0.002 variables.py:3015(<listcomp>)
      108    0.001    0.000    0.010    0.000 generic.py:4113(reindex)
      126    0.001    0.000    0.003    0.000 nest.py:363(_packed_nest_with_indices)
       96    0.001    0.000    0.093    0.001 managers.py:533(convert)
     2742    0.001    0.000    0.001    0.000 deprecation.py:583(deprecated_argument_lookup)
      578    0.001    0.000    0.024    0.000 concat.py:379(<genexpr>)
      693    0.001    0.000    0.001    0.000 numeric.py:748(<setcomp>)
     1254    0.001    0.000    0.001    0.000 {built-in method _pywrap_tensorflow_internal.TFE_Py_TapeSetStopOnThread}
      474    0.001    0.000    0.044    0.000 managers.py:927(_consolidate_inplace)
     1039    0.001    0.000    0.010    0.000 common.py:605(is_string_dtype)
      951    0.001    0.000    0.001    0.000 _collections_abc.py:879(__iter__)
      291    0.001    0.000    0.001    0.000 resource_variable_ops.py:84(<listcomp>)
      964    0.001    0.000    0.002    0.000 tensor_util.py:939(is_tensor)
      200    0.001    0.000    0.011    0.000 ops.py:635(__repr__)
      310    0.001    0.000    0.002    0.000 execute.py:136(make_shape)
     1029    0.001    0.000    0.003    0.000 control_flow_util.py:94(IsLoopExit)
     1592    0.001    0.000    0.001    0.000 ops.py:460(<listcomp>)
      340    0.001    0.000    0.035    0.000 generic.py:5122(_protect_consolidate)
      581    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:861(_find_spec_legacy)
   208/83    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap>:936(_find_and_load_unlocked)
      310    0.001    0.000    0.007    0.000 op_def_library.py:183(_MakeShape)
       97    0.001    0.000    0.013    0.000 concat.py:486(_concat_index_asobject)
      408    0.001    0.000    0.002    0.000 pickle.py:413(memoize)
     3010    0.001    0.000    0.001    0.000 resource_variable_ops.py:1663(is_resource_variable)
       12    0.001    0.000    0.147    0.012 control_flow_ops.py:1848(cond)
      367    0.001    0.000    0.001    0.000 registry.py:82(lookup)
       96    0.001    0.000    0.008    0.000 cast.py:1072(find_common_type)
     1542    0.001    0.000    0.010    0.000 managers.py:1893(<lambda>)
      539    0.001    0.000    0.005    0.000 tf2.py:43(enabled)
      515    0.001    0.000    0.001    0.000 ops.py:3468(_is_function)
     2730    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:806(__eq__)
       33    0.001    0.000    0.347    0.011 array_grad.py:231(_SliceGrad)
     1356    0.001    0.000    0.006    0.000 _methods.py:42(_any)
     2604    0.001    0.000    0.001    0.000 resource_variable_ops.py:840(handle)
       63    0.001    0.000    0.059    0.001 gen_math_ops.py:7536(_range)
  317/271    0.001    0.000    0.012    0.000 {built-in method builtins.__import__}
     1881    0.001    0.000    0.001    0.000 managers.py:143(ndim)
      367    0.001    0.000    0.002    0.000 gradients_util.py:301(_VerifyGeneratedGradients)
     1299    0.001    0.000    0.001    0.000 ops.py:4752(<listcomp>)
      101    0.001    0.000    0.007    0.000 iostream.py:180(schedule)
       40    0.001    0.000    4.742    0.119 numpy_pickle.py:106(read_array)
     1571    0.001    0.000    0.001    0.000 dtypes.py:123(as_numpy_dtype)
      285    0.001    0.000    0.035    0.000 ops.py:5796(executing_eagerly_outside_functions)
     1073    0.001    0.000    0.001    0.000 base.py:3608(values)
     2400    0.001    0.000    0.003    0.000 abc.py:194(<genexpr>)
      950    0.001    0.000    0.001    0.000 graph_view.py:51(_escape_local_name)
       99    0.001    0.000    0.055    0.001 blocks.py:2641(convert)
     1305    0.001    0.000    0.001    0.000 dtypes.py:119(is_numpy_compatible)
       44    0.001    0.000    0.077    0.002 math_grad.py:1368(_MatMulGrad)
       60    0.001    0.000    0.049    0.001 array_ops.py:419(size_internal)
      340    0.001    0.000    0.034    0.000 generic.py:5135(f)
        1    0.001    0.001    0.001    0.001 {pandas._libs.hashtable.ismember_object}
      940    0.001    0.000    0.001    0.000 gradients_util.py:846(_GetGrad)
       40    0.001    0.000    0.063    0.002 gen_math_ops.py:5966(_max)
     1559    0.001    0.000    0.001    0.000 ops.py:4704(op_in_group)
      200    0.001    0.000    0.231    0.001 math_ops.py:1413(reduce_sum)
       11    0.001    0.000    0.001    0.000 ops.py:1391(internal_convert_n_to_tensor_or_indexed_slices)
      675    0.001    0.000    0.001    0.000 {method 'tostring' of 'numpy.ndarray' objects}
        1    0.001    0.001    3.045    3.045 backend.py:868(_initialize_variables)
      388    0.001    0.000    0.341    0.001 resource_variable_ops.py:1453(_dense_var_to_tensor)
      295    0.001    0.000    0.005    0.000 nest.py:395(pack_sequence_as)
      440    0.001    0.000    0.001    0.000 managers.py:98(<listcomp>)
      131    0.001    0.000    0.001    0.000 cast.py:1193(construct_1d_object_array_from_listlike)
      249    0.001    0.000    0.009    0.000 common_shapes.py:31(has_fully_defined_shape)
       60    0.001    0.000    0.002    0.000 data_structures.py:173(_layers)
      188    0.001    0.000    0.090    0.000 variable_scope.py:2347(__exit__)
      266    0.001    0.000    0.001    0.000 base.py:3940(__getitem__)
      941    0.001    0.000    0.006    0.000 variable_scope.py:1357(get_variable_scope)
      538    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:416(parent)
     1125    0.001    0.000    0.001    0.000 ops.py:2409(__getitem__)
     1286    0.001    0.000    0.003    0.000 pywrap_tensorflow_internal.py:2530(Flatten)
      514    0.001    0.000    0.001    0.000 ops.py:4714(_current_control_dependencies)
     2604    0.001    0.000    0.001    0.000 ops.py:3338(_set_control_flow_context)
      387    0.001    0.000    0.001    0.000 generic.py:5053(__getattr__)
      188    0.001    0.000    0.003    0.000 variable_scope.py:1960(_get_unique_variable_scope)
     1254    0.001    0.000    0.002    0.000 ops.py:4380(get_name_scope)
      157    0.001    0.000    0.099    0.001 gen_control_flow_ops.py:545(no_op)
       12    0.001    0.000    2.786    0.232 datasets.py:741(iterate)
      188    0.001    0.000    0.003    0.000 optimizer.py:1166(_restore_slot_variable)
      174    0.001    0.000    0.003    0.000 tensor_shape.py:1043(is_compatible_with)
      115    0.001    0.000    0.001    0.000 {built-in method numpy.copyto}
     2295    0.001    0.000    0.001    0.000 errors_impl.py:80(message)
      591    0.001    0.000    0.001    0.000 op_def_library.py:158(_MakeStr)
      165    0.001    0.000    0.008    0.000 managers.py:1443(__init__)
      994    0.001    0.000    0.001    0.000 tensor_shape.py:817(ndims)
       18    0.001    0.000    0.002    0.000 session.py:518(build_results)
      188    0.001    0.000    0.002    0.000 variable_scope.py:1778(__init__)
     2279    0.001    0.000    0.001    0.000 {method 'replace' of 'str' objects}
      591    0.001    0.000    0.002    0.000 execute.py:112(make_str)
       42    0.001    0.000    0.038    0.001 gen_control_flow_ops.py:893(switch)
      474    0.001    0.000    0.001    0.000 generic.py:363(_get_axis_name)
       63    0.001    0.000    0.001    0.000 getipython.py:17(get_ipython)
      474    0.001    0.000    0.004    0.000 optimizer.py:734(get_slot)
     2294    0.001    0.000    0.001    0.000 ops.py:639(__hash__)
      603    0.001    0.000    0.002    0.000 _collections_abc.py:664(__contains__)
      367    0.001    0.000    0.003    0.000 gradients_util.py:908(<listcomp>)
        1    0.001    0.001    5.065    5.065 optimizer.py:355(minimize)
      120    0.001    0.000    0.007    0.000 mol_graphs.py:16(cumulative_sum_minus_last)
      586    0.001    0.000    0.001    0.000 compressor.py:380(_check_can_read)
      662    0.001    0.000    0.001    0.000 object_identity.py:53(__init__)
     1034    0.001    0.000    0.001    0.000 managers.py:308(<genexpr>)
      693    0.001    0.000    0.001    0.000 tape.py:132(record_operation)
  256/232    0.001    0.000    0.030    0.000 nest.py:515(<listcomp>)
       64    0.001    0.000    0.002    0.000 compressor.py:281(__init__)
  412/312    0.001    0.000    0.004    0.000 data_structures.py:91(sticky_attribute_assignment)
      367    0.001    0.000    0.001    0.000 gradients_util.py:906(<listcomp>)
     1001    0.001    0.000    0.001    0.000 _weakrefset.py:58(__iter__)
      986    0.001    0.000    0.001    0.000 gradients_util.py:1024(<genexpr>)
      898    0.001    0.000    0.001    0.000 {built-in method _pywrap_tensorflow_internal.TF_OperationGetControlInputs_wrapper}
     1174    0.001    0.000    0.001    0.000 ops.py:5174(_colocation_stack)
      116    0.001    0.000    0.190    0.002 array_ops.py:3372(gather)
      457    0.001    0.000    0.001    0.000 op_def_library.py:504(<listcomp>)
       97    0.001    0.000    0.012    0.000 concat.py:440(_get_new_axes)
       27    0.001    0.000    0.004    0.000 base_layer.py:142(__init__)
       55    0.001    0.000    0.042    0.001 gen_math_ops.py:4057(floor_mod)
     1130    0.001    0.000    0.001    0.000 gradients_util.py:897(_FilterGrad)
      188    0.001    0.000    0.337    0.002 variable_scope.py:898(<lambda>)
     2072    0.001    0.000    0.001    0.000 tf_decorator.py:258(decorated_target)
     2216    0.001    0.000    0.001    0.000 ops.py:1977(<listcomp>)
      320    0.001    0.000    0.001    0.000 pickle.py:1199(load_binunicode)
       20    0.001    0.000    0.364    0.018 math_grad.py:99(_MinOrMaxGrad)
      291    0.001    0.000    0.301    0.001 resource_variable_ops.py:176(eager_safe_variable_handle)
  412/316    0.001    0.000    0.003    0.000 data_structures.py:65(_wrap_or_unwrap)
      112    0.001    0.000    0.002    0.000 base.py:566(_shallow_copy)
     1650    0.001    0.000    0.001    0.000 pywrap_tensorflow_internal.py:2447(IsSequence)
      107    0.001    0.000    0.002    0.000 range.py:69(__new__)
       90    0.001    0.000    0.001    0.000 posixpath.py:75(join)
      208    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:78(acquire)
       96    0.001    0.000    0.094    0.001 generic.py:5821(_convert)
      487    0.001    0.000    0.001    0.000 __init__.py:221(iteritems)
  171/105    0.001    0.000    0.010    0.000 tensor_util.py:784(constant_value)
        4    0.001    0.000    0.135    0.034 layers.py:119(sum_neigh)
       58    0.001    0.000    0.042    0.001 array_ops.py:489(rank_internal)
        1    0.001    0.001    0.001    0.001 network.py:1685(_map_graph_network)
      188    0.001    0.000    0.087    0.000 variable_scope.py:1929(__exit__)
       30    0.001    0.000    0.251    0.008 math_ops.py:3264(reduced_shape)
        1    0.001    0.001    0.003    0.003 graph_view.py:183(_breadth_first_traversal)
      503    0.001    0.000    0.015    0.000 ops.py:496(_shape_tuple)
       73    0.001    0.000    0.008    0.000 iostream.py:342(write)
       72    0.001    0.000    0.002    0.000 pickle.py:905(save_global)
      900    0.001    0.000    0.001    0.000 device_spec.py:413(to_string)
      340    0.001    0.000    0.033    0.000 managers.py:911(consolidate)
      291    0.001    0.000    0.012    0.000 resource_variable_ops.py:61(get_eager_safe_handle_data)
       42    0.001    0.000    0.006    0.000 base_layer.py:2099(__init__)
      238    0.001    0.000    0.381    0.002 init_ops.py:111(__call__)
      172    0.001    0.000    0.001    0.000 series.py:354(_set_axis)
      558    0.001    0.000    0.002    0.000 tf_inspect.py:329(getmodule)
      496    0.001    0.000    0.001    0.000 {pandas._libs.lib.array_equivalent_object}
     1134    0.000    0.000    0.001    0.000 nest.py:152(_yield_sorted_items)
      390    0.000    0.000    0.003    0.000 concat.py:126(dtype)
      680    0.000    0.000    0.001    0.000 pickle.py:1438(load_binput)
 1762/594    0.000    0.000    0.001    0.000 tensor_util.py:228(_FlattenToStrings)
     1016    0.000    0.000    0.002    0.000 base.py:3663(get_values)
       97    0.000    0.000    0.190    0.002 concat.py:24(concat)
      439    0.000    0.000    0.004    0.000 tensor_shape.py:776(_v2_behavior)
      361    0.000    0.000    0.001    0.000 common.py:1198(is_datetime_or_timedelta_dtype)
      100    0.000    0.000    0.002    0.000 backend.py:800(track_variable)
      100    0.000    0.000    0.014    0.000 managers.py:1640(create_block_manager_from_blocks)
        1    0.000    0.000    0.004    0.004 gradients_util.py:321(_StopOps)
      291    0.000    0.000    0.001    0.000 resource_variable_ops.py:86(<listcomp>)
      485    0.000    0.000    0.001    0.000 control_flow_util.py:79(IsSwitch)
     1254    0.000    0.000    0.000    0.000 {built-in method _pywrap_tensorflow_internal.TFE_Py_TapeSetRestartOnThread}
      283    0.000    0.000    0.000    0.000 _internal.py:886(npy_ctypes_check)
      623    0.000    0.000    0.001    0.000 base.py:613(is_)
       74    0.000    0.000    0.000    0.000 {built-in method numpy.fromiter}
     1331    0.000    0.000    0.000    0.000 resource_variable_ops.py:853(_as_graph_element)
       13    0.000    0.000    0.004    0.000 managers.py:1696(form_blocks)
      775    0.000    0.000    0.000    0.000 {method 'add' of 'google.protobuf.pyext._message.RepeatedCompositeContainer' objects}
       33    0.000    0.000    0.033    0.001 gen_array_ops.py:5938(pad)
     1301    0.000    0.000    0.000    0.000 ops.py:4697(control_inputs)
      262    0.000    0.000    0.003    0.000 backend.py:1099(int_shape)
     1293    0.000    0.000    0.000    0.000 tf_logging.py:81(get_logger)
      949    0.000    0.000    0.000    0.000 data_structures.py:355(__getitem__)
      845    0.000    0.000    0.001    0.000 op_def_library.py:165(_MakeBool)
      415    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:57(_path_join)
     1650    0.000    0.000    0.000    0.000 {built-in method _pywrap_tensorflow_internal.IsSequence}
      873    0.000    0.000    0.000    0.000 concat.py:376(<genexpr>)
      153    0.000    0.000    0.002    0.000 base.py:765(_handle_deferred_dependencies)
       96    0.000    0.000    0.006    0.000 api.py:128(_union_indexes)
      107    0.000    0.000    0.002    0.000 numeric.py:34(__new__)
      461    0.000    0.000    0.001    0.000 generic.py:377(_get_axis)
       30    0.000    0.000    0.037    0.001 gen_data_flow_ops.py:767(dynamic_stitch)
      461    0.000    0.000    0.001    0.000 gradients_util.py:365(_IsPartitionedCall)
      662    0.000    0.000    0.001    0.000 object_identity.py:95(_wrap_key)
      427    0.000    0.000    0.000    0.000 ops.py:2403(__bool__)
      434    0.000    0.000    0.001    0.000 array_ops.py:522(_check_index)
      357    0.000    0.000    0.295    0.001 array_ops.py:307(shape)
       78    0.000    0.000    0.029    0.000 control_flow_ops.py:1688(AddValue)
      922    0.000    0.000    0.001    0.000 gradients_util.py:670(<genexpr>)
       95    0.000    0.000    0.014    0.000 adam.py:109(_get_beta_accumulators)
      123    0.000    0.000    0.001    0.000 range.py:136(_simple_new)
       60    0.000    0.000    0.002    0.000 base.py:4342(get_value)
      292    0.000    0.000    0.001    0.000 saveable_object.py:24(__init__)
      503    0.000    0.000    0.001    0.000 ops.py:492(<listcomp>)
       16    0.000    0.000    0.028    0.002 input_layer.py:54(__init__)
      388    0.000    0.000    0.341    0.001 resource_variable_ops.py:1506(_dense_var_to_tensor)
      100    0.000    0.000    0.037    0.000 indexing.py:2205(_getitem_axis)
      100    0.000    0.000    0.018    0.000 generic_utils.py:170(deserialize_keras_object)
      341    0.000    0.000    0.002    0.000 tensor_util.py:290(_FilterFloat)
      689    0.000    0.000    0.001    0.000 ops.py:5202(_distribution_strategy_stack)
       83    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1117(_get_spec)
      400    0.000    0.000    0.000    0.000 tf_should_use.py:80(_new__setattr__)
      237    0.000    0.000    0.004    0.000 session.py:283(__init__)
       14    0.000    0.000    0.004    0.000 {pandas._libs.lib.clean_index_list}
        3    0.000    0.000    1.399    0.466 _message.py:76(read_reply_from_input)
      200    0.000    0.000    0.000    0.000 compat.py:33(forward_compatible)
      845    0.000    0.000    0.001    0.000 execute.py:119(make_bool)
       64    0.000    0.000    0.005    0.000 compressor.py:319(close)
      354    0.000    0.000    0.006    0.000 common.py:1431(needs_i8_conversion)
      188    0.000    0.000    0.004    0.000 {built-in method builtins.format}
      931    0.000    0.000    0.001    0.000 common.py:127(<lambda>)
      200    0.000    0.000    0.121    0.001 state_ops.py:117(is_variable_initialized)
     1238    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
       97    0.000    0.000    0.002    0.000 concat.py:84(_get_frame_result_type)
      500    0.000    0.000    0.027    0.000 blocks.py:213(make_block)
        8    0.000    0.000    0.000    0.000 {pandas._libs.algos.take_2d_axis0_object_object}
      474    0.000    0.000    0.002    0.000 graph_view.py:156(list_dependencies)
      151    0.000    0.000    0.001    0.000 control_flow_ops.py:3732(<listcomp>)
      774    0.000    0.000    0.001    0.000 concat.py:450(_next_or_none)
      144    0.000    0.000    0.001    0.000 dtypes.py:144(is_floating)
     1284    0.000    0.000    0.001    0.000 pickle.py:213(write)
        1    0.000    0.000    0.001    0.001 gradients_util.py:596(<listcomp>)
      292    0.000    0.000    0.004    0.000 ops.py:6327(add_to_collections)
       96    0.000    0.000    0.007    0.000 base.py:2445(difference)
       11    0.000    0.000    0.001    0.000 session.py:327(_uniquify_fetches)
       33    0.000    0.000    0.040    0.001 array_ops.py:2301(pad)
      821    0.000    0.000    0.001    0.000 base_layer.py:1904(_maybe_create_attribute)
      368    0.000    0.000    0.004    0.000 ops.py:1459(convert_to_tensor_or_composite)
      195    0.000    0.000    0.018    0.000 concat.py:240(<listcomp>)
      107    0.000    0.000    0.045    0.000 indexing.py:1485(__getitem__)
      188    0.000    0.000    1.245    0.007 variable_scope.py:1464(get_variable)
     1779    0.000    0.000    0.000    0.000 tensor_shape.py:812(dims)
       59    0.000    0.000    0.016    0.000 _message.py:34(_read_next_input_message)
      200    0.000    0.000    0.120    0.001 resource_variable_ops.py:1049(is_initialized)
       94    0.000    0.000    0.287    0.003 optimizer.py:163(update_op)
      120    0.000    0.000    0.001    0.000 dtypes.py:786(construct_from_string)
      249    0.000    0.000    0.010    0.000 math_ops.py:1348(_may_reduce_to_scalar)
       97    0.000    0.000    0.019    0.000 base.py:3988(append)
   144/84    0.000    0.000    0.003    0.000 layer_utils.py:42(filter_empty_layer_containers)
      468    0.000    0.000    0.000    0.000 base.py:633(_reset_identity)
      119    0.000    0.000    0.198    0.002 array_ops.py:1204(concat)
       30    0.000    0.000    0.022    0.001 gen_array_ops.py:8697(size)
      108    0.000    0.000    0.001    0.000 generic.py:297(_construct_axes_from_arguments)
       23    0.000    0.000    0.021    0.001 gen_array_ops.py:8616(shape_n)
      197    0.000    0.000    0.001    0.000 tf_utils.py:311(is_symbolic_tensor)
      540    0.000    0.000    0.000    0.000 ops.py:2400(__len__)
      862    0.000    0.000    0.000    0.000 inspect.py:73(isclass)
  582/578    0.000    0.000    0.027    0.000 missing.py:25(isna)
      855    0.000    0.000    0.001    0.000 layer_utils.py:33(has_weights)
      192    0.000    0.000    0.002    0.000 pickle.py:705(save_str)
      120    0.000    0.000    0.001    0.000 pickle.py:1335(load_global)
      282    0.000    0.000    0.002    0.000 distribution_strategy_context.py:204(get_strategy_and_replica_context)
      816    0.000    0.000    0.000    0.000 {built-in method _struct.pack}
      500    0.000    0.000    0.001    0.000 series.py:392(name)
      157    0.000    0.000    0.000    0.000 {pandas._libs.lib.infer_datetimelike_array}
     1009    0.000    0.000    0.000    0.000 resource_variable_ops.py:796(dtype)
      693    0.000    0.000    0.000    0.000 {built-in method _pywrap_tensorflow_internal.TFE_Py_TapeSetRecordOperation}
      340    0.000    0.000    0.035    0.000 generic.py:5132(_consolidate_inplace)
      243    0.000    0.000    0.000    0.000 generic.py:349(_get_axis_number)
      194    0.000    0.000    0.034    0.000 generic.py:5140(_consolidate)
      689    0.000    0.000    0.000    0.000 distribution_strategy_context.py:283(_get_default_replica_mode)
       28    0.000    0.000    0.000    0.000 {method 'close' of '_io.BufferedWriter' objects}
      503    0.000    0.000    0.000    0.000 blocks.py:332(iget)
       60    0.000    0.000    0.003    0.000 series.py:865(__getitem__)
       24    0.000    0.000    7.483    0.312 numpy_pickle.py:84(write_array)
      100    0.000    0.000    0.002    0.000 base.py:5408(default_index)
      280    0.000    0.000    0.001    0.000 common.py:868(is_integer_dtype)
      208    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:103(release)
     1134    0.000    0.000    0.002    0.000 nest.py:147(_yield_value)
       96    0.000    0.000    0.001    0.000 api.py:262(<setcomp>)
      143    0.000    0.000    0.000    0.000 weakref.py:431(__contains__)
      238    0.000    0.000    0.000    0.000 init_ops.py:105(__init__)
      412    0.000    0.000    0.001    0.000 blocks.py:175(get_values)
      233    0.000    0.000    0.001    0.000 managers.py:174(_is_single_block)
      107    0.000    0.000    0.012    0.000 base.py:584(_shallow_copy_with_infer)
       19    0.000    0.000    0.015    0.001 gen_array_ops.py:9605(squeeze)
      126    0.000    0.000    0.001    0.000 nest.py:115(_sequence_like)
     1246    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
        2    0.000    0.000    0.017    0.009 functional_saver.py:54(save)
       63    0.000    0.000    0.214    0.003 math_ops.py:2771(_as_indexed_slices)
       80    0.000    0.000    0.001    0.000 pickle.py:1501(load_build)
       48    0.000    0.000    0.000    0.000 {method '__reduce_ex__' of 'object' objects}
      900    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
        1    0.000    0.000    0.002    0.002 gradients_util.py:778(<listcomp>)
       40    0.000    0.000    0.001    0.000 numpy_pickle_utils.py:93(_buffered_read_file)
      291    0.000    0.000    0.001    0.000 resource_variable_ops.py:87(<listcomp>)
      734    0.000    0.000    0.000    0.000 ops.py:4176(_original_op)
      230    0.000    0.000    0.000    0.000 generic.py:144(_init_mgr)
        1    0.000    0.000    0.135    0.135 backend.py:879(<listcomp>)
       97    0.000    0.000    0.000    0.000 api.py:73(_get_distinct_objs)
       15    0.000    0.000    0.000    0.000 {built-in method _pywrap_tensorflow_internal.TF_TryEvaluateConstant_wrapper}
       97    0.000    0.000    0.003    0.000 concat.py:475(_get_concat_axis)
      190    0.000    0.000    0.003    0.000 distribute_lib.py:1806(colocate_vars_with)
      208    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:147(__enter__)
       96    0.000    0.000    0.003    0.000 pickle.py:723(save_tuple)
      546    0.000    0.000    0.000    0.000 inspect.py:277(isbuiltin)
       18    0.000    0.000    0.018    0.001 gen_array_ops.py:6219(placeholder)
      415    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:59(<listcomp>)
      205    0.000    0.000    0.001    0.000 network.py:449(__setattr__)
      558    0.000    0.000    0.004    0.000 ag_logging.py:137(log)
       11    0.000    0.000    0.001    0.000 session.py:379(build_results)
      172    0.000    0.000    0.002    0.000 session.py:1087(_feed_fn)
      376    0.000    0.000    0.002    0.000 variable_scope.py:1363(_get_default_variable_store)
       42    0.000    0.000    0.042    0.001 control_flow_ops.py:284(switch)
      103    0.000    0.000    0.008    0.000 series.py:3735(reindex)
        6    0.000    0.000    0.232    0.039 normalization.py:634(call)
       60    0.000    0.000    0.000    0.000 {method 'get_value' of 'pandas._libs.index.IndexEngine' objects}
        1    0.000    0.000    0.951    0.951 network.py:825(_run_internal_graph)
      346    0.000    0.000    0.005    0.000 common.py:1078(is_datetime64_any_dtype)
       97    0.000    0.000    0.007    0.000 api.py:87(_get_combined_index)
      282    0.000    0.000    0.000    0.000 {built-in method _pywrap_tensorflow_internal.TFE_Py_TapeVariableAccessed}
      824    0.000    0.000    0.000    0.000 blocks.py:304(shape)
       25    0.000    0.000    0.006    0.000 base_layer.py:1782(_add_inbound_node)
        3    0.000    0.000    0.000    0.000 {method 'difference' of 'set' objects}
       59    0.000    0.000    0.014    0.000 session.py:786(recv)
      390    0.000    0.000    0.000    0.000 concat.py:391(<genexpr>)
      316    0.000    0.000    0.001    0.000 base.py:547(_get_attributes_dict)
      562    0.000    0.000    0.000    0.000 inspect.py:64(ismodule)
       25    0.000    0.000    0.008    0.000 base_layer.py:1667(_set_connectivity_metadata_)
      169    0.000    0.000    0.002    0.000 blocks.py:225(make_block_same_class)
      188    0.000    0.000    0.001    0.000 variable_scope.py:1039(__init__)
      582    0.000    0.000    0.000    0.000 concat.py:104(__init__)
      319    0.000    0.000    0.001    0.000 common.py:980(is_unsigned_integer_dtype)
      200    0.000    0.000    0.001    0.000 tf_should_use.py:110(_get_wrapper)
      234    0.000    0.000    0.001    0.000 common.py:923(is_signed_integer_dtype)
       50    0.000    0.000    0.001    0.000 warnings.py:119(filterwarnings)
        1    0.000    0.000    2.021    2.021 graph_models.py:500(__init__)
        1    0.000    0.000    0.007    0.007 optimizer.py:504(<listcomp>)
       18    0.000    0.000    0.020    0.001 gen_math_ops.py:11724(unsorted_segment_sum)
    48/24    0.000    0.000    0.009    0.000 pickle.py:539(save_reduce)
      163    0.000    0.000    0.161    0.001 array_ops.py:684(slice)
      116    0.000    0.000    0.020    0.000 initializers.py:189(get)
       56    0.000    0.000    0.000    0.000 error.py:26(__init__)
        3    0.000    0.000    2.041    0.680 datasets.py:1166(get_shard)
       24    0.000    0.000    0.022    0.001 gen_array_ops.py:1128(concat_offset)
       96    0.000    0.000    0.002    0.000 blocks.py:323(concat_same_type)
        8    0.000    0.000    0.000    0.000 {pandas._libs.algos.take_2d_axis1_float64_float64}
      208    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
      151    0.000    0.000    0.000    0.000 control_flow_ops.py:3736(<listcomp>)
      707    0.000    0.000    0.000    0.000 managers.py:591(is_consolidated)
      193    0.000    0.000    0.001    0.000 fromnumeric.py:942(argsort)
        2    0.000    0.000    0.463    0.232 layers.py:49(<listcomp>)
      701    0.000    0.000    0.000    0.000 resource_variable_ops.py:884(trainable)
       44    0.000    0.000    0.264    0.006 init_ops.py:508(__call__)
     1260    0.000    0.000    0.000    0.000 {method 'remove' of 'set' objects}
      108    0.000    0.000    0.005    0.000 base.py:4071(identical)
      254    0.000    0.000    0.000    0.000 generic.py:5036(__finalize__)
